id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591284;;ch:1:sloid:91284;Zürich, Neeserweg;;;;;;8.474722;47.390592;0;EPSG:4326;2678226;1249379;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903884;274
8591285;;ch:1:sloid:91285;Zürich, Neuaffoltern;;;;;;8.525026;47.411845;0;EPSG:4326;2681991;1251793;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903888;275
8591286;;ch:1:sloid:91286;Zürich, Neubühl;;;;;;8.534944;47.332927;0;EPSG:4326;2682862;1243030;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903892;276
8591287;;ch:1:sloid:91287;Zürich, Neumarkt;;;;;;8.547350;47.372774;0;EPSG:4326;2683737;1247473;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903896;277
8591289;;ch:1:sloid:91289;Zürich, Neunbrunnen;;;;;;8.538206;47.416704;0;EPSG:4326;2682978;1252347;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903900;278
8591290;;ch:1:sloid:91290;Zürich, Nordheimstrasse;;;;;;8.530527;47.403544;0;EPSG:4326;2682419;1250876;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903905;279
8591293;;ch:1:sloid:91293;Zürich, Oberwiesenstrasse;;;;;;8.532816;47.410477;0;EPSG:4326;2682581;1251649;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903919;280
8591294;;ch:1:sloid:91294;Zürich, Oerlikerhus;;;;;;8.554206;47.417585;0;EPSG:4326;2684184;1252462;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903924;281
8591297;;ch:1:sloid:91297;Zürich, Orionstrasse;;;;;;8.566168;47.416722;0;EPSG:4326;2685088;1252379;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903932;282
8591298;;ch:1:sloid:91298;Zürich, Ottikerstrasse;;;;;;8.542416;47.385190;0;EPSG:4326;2683345;1248848;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903936;283
