id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp
;;;"Saint-Blaise-du-Buis;45.374620; ROUTE DU RIVIER";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864061
;;;"Saint-Blaise-du-Buis;45.391290; RAVIGNHOUSE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864064
;;;"Saint-Blaise-du-Buis;45.386417; ZA LE TALAMUD";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864068
;;;"Réaumont;45.369106; CHATELARD";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864071
;;;"Charavines;45.409977; PAPETERIE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864075
;;;"Chirens;45.403050; LE FAGOT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864078
;;;"Voiron;45.368008; CENTRE SOCIAL";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864085
;;;"Voiron;45.366276; GENERAL LECLERC";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864098
;;;"Voiron;45.397710; LE VERDIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864101
;;;"Coublevie;45.365726; CROIX BAYARD";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864105
;;;"Saint-Étienne-de-Crossey;45.377537; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864108
;;;"Saint-Étienne-de-Crossey;45.366750; ETANG DAUPHIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864111
;;;"Charavines;45.428673; PLACE DU MARCHE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864405
;;;"Charavines;45.432667; OFFICE DE TOURISME";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864411
;;;"Bilieu;45.441906; LES MAURES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864414
;;;"Chirens;45.413334; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864418
;;;"Merlas;45.444744; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864428
;;;"Merlas;45.433770; NOUVELIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864432
;;;"Merlas;45.440063; PIVOTIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864435
;;;"Merlas;45.433594; LE BURLET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864438
;;;"Saint-Geoire-en-Valdaine;45.455784; CHOCHE LE PARIS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864441
;;;"Saint-Geoire-en-Valdaine;45.451122; GENDARMERIE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864445
;;;"Miribel-les-Échelles;45.428154; EGLISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864454
;;;"Montferrat;45.489502; VILLAGE EGLISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864725
;;;"Paladru;45.476414; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864738
;;;"Paladru;45.480103; GARAGE RENAULT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864745
;;;"Paladru;45.477840; LA TRUITIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864748
;;;"Saint-Sulpice-des-Rivoires;45.470390; BOURG";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864751
;;;"Saint-Sulpice-des-Rivoires;45.479847; LA PLATIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864755
;;;"Saint-Sulpice-des-Rivoires;45.477238; FERME MOLLARD";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864758
;;;"Saint-Sulpice-des-Rivoires;45.465897; CHATEAU D'EAU";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864761
;;;"Paladru;45.503693; LES TROIS CHENES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864765
;;;"Saint-Geoire-en-Valdaine;45.484993; LE PLATON";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864768
;;;"Saint-Geoire-en-Valdaine;45.471798; LES HOPITAUX";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864771
;;;"Saint-Geoire-en-Valdaine;45.459557; HOPITAL";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864784
;;;"Saint-Geoire-en-Valdaine;45.467243; LA PALE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864793
;;;"Velanne;45.488950; CENTRE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864796
;;;"Velanne;45.481995; LA SAUGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864800
;;;"Voissant;45.484497; EGLISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864825
;;;"Voissant;45.477676; SOUS LE MONT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.864828
;;;"Charancieu;45.525143; CENTRE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.865209
;;;"Merlas;45.445860; LES GORGES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.866753
;;;"Charancieu;45.530330; ZA CHARANCIEU";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.866803
;;;"Paladru;45.470913; CALATRIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.866906
;;;"Saint-Geoire-en-Valdaine;45.457110; CONSUOZ";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.866972
;;;"Coublevie;45.354160; PL DU 19 MARS 1962";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867042
;;;"Charavines;45.425000; BERNARDIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867070
;;;"Montferrat;45.468838; LAC BLEU";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867128
;;;"Moirans;45.325250; LES BALMES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867168
;;;"Voiron;45.349910; CHAMPFEUILLET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867344
